Difficulty,Puzzle
3.24,[o   o   o     o      o o oo      o oo         o ]
3.24,[     o  oo ooo              o  o o      o  o   o]
3.24,[ o       o  o  oo        oo  o o          o o o ]
3.24,[ o  o  o o        o o    o         o  oo    o o ]
3.24,[ o o o      o      o      o    oo       o  o oo ]
3.24,[    o   o     o o   o  o  o   o  o    oo  o     ]
3.24,[o    o o o o    o         o           ooo  oo   ]
3.26,[ o    o  o o  o     o o   o o          oo  o    ]
3.28,[o    o     oo o    o     o o   oo    o      o   ]
3.28,[        o o  o   o  o   o    oo   oo   o      o ]
3.28,[ o o o       o  o o  o     o   oo        o     o]
3.28,[   o         o ooo        oo   o   oo  o  o     ]
3.28,[ o  o          o oo   oo   o       o o  o  o    ]
3.28,[    o  oo  o   o    o    oo       o o  o       o]
3.28,[ o   o   o        oo        o o ooo   o      o  ]
3.28,[ o         oo o o     o    o   o   oo     o o   ]
3.28,[ o o        o  o  o       o    oo    o   o   oo ]
3.28,[oo     o   o  o   o  o        o   o     o  o o  ]
3.28,[    o   oo   o o          oo   o o  o  o   o    ]
3.29,[      o o  o  o o    oo o  oo    o    o         ]
3.29,[    ooo o      o o       oo  o    o    o    o   ]
3.29,[o  o  o  o             oooo  o    o o          o]
3.29,[o       o o  o o   o      oo  o o    o       o  ]
3.29,[o     o  o    o  o oo o            o     o o o  ]
3.31,[      o oo  o           oo oo     o   o    o o  ]
3.31,[   oo       o  oo  o o   o            o  o o   o]
3.31,[   oo         o o    o    o  oo    oo   o     o ]
3.31,[o      o  o   o o   o    o    o    o o   o   o  ]
3.31,[   ooo    o         o o o   o     o  o o  o     ]
3.31,[ o   o   o      o  o oo        o  o   ooo       ]
3.33,[   o    o           oo ooo  o  o    o   o     o ]
3.33,[  o    o      o   o  o o o o     o    o  o    o ]
3.33,[  o     oo   oo     o  o      o o o o        o  ]
3.33,[  o    o  o          o  oo  o o   o   o o     o ]
3.33,[     o  o  o   o  oo   o        oo  o       o  o]
3.33,[ o  o         o  oo    o  o       o oo     o   o]
3.35,[ o  oo  o  o  o         o  o oo            o   o]
3.36,[  ooo         ooo o               oo    o    o o]
3.36,[ o  o      oo         o      o  o o    o o   oo ]
3.36,[ o   o  o o    o           o       o oo  o  o o ]
3.36,[o   o o     o    o   o o  o     oo     o    o   ]
3.36,[ oo  o     o o   o    o   o    oo  o o          ]
3.36,[o           oo oo o   o    o o   o      o     o ]
3.36,[ o o    o  o  oo           oo  o o   o  o       ]
3.36,[        o oo o    o    o o    o o     o     o o ]
3.36,[o   o     o    o     o oo o   o     oo    o     ]
3.36,[ o   o   o  o       o o oo  o            o o  o ]
3.36,[  o   o o        o o  o o o    o o     o      o ]
3.36,[     o    oo     o    o o       oo  oo o      o ]
3.36,[     o  o  oo       oo  o     oo    o   o o     ]
3.36,[ o o     o   o o  o   o         o  oo      o  o ]
3.36,[    o  o  o    oo   o           o o    o  o o o ]
3.36,[   o  o o   o o   o         o  o o  oo  o       ]
3.36,[o     oo         oo o     o     o  o  oo      o ]
3.36,[    o o o o   o      o       o o o      o  o o  ]
3.36,[      o oo   o o o   o     o   ooo           o  ]
3.36,[  o o         o oo  o     o         oo ooo      ]
3.36,[      o  oo     o        o o   oo  oo o        o]
3.36,[  o      o o  oo o          oooo        o   o   ]
3.36,[  o     o o   oo       o o   oo          o oo   ]
3.36,[  ooo o          o   o    o     o   o o o     o ]
3.36,[ o o      o o  oo   oo             o  o   o o   ]
3.36,[ o o   o               o oo  o  o o   o     o  o]
3.36,[      o o o   o      o      o o  oo o   o  o    ]
3.36,[       oo   oo           ooo   o      o   oo  o ]
3.36,[o         o  o  o   o  o    ooo         o o  o  ]
3.36,[ o     o o    o o o  o o   o      o    o     o  ]
3.36,[    o  o       ooo o o     o    oo  o         o ]
3.38,[       oo o  o       o o o o      oo o      o   ]
3.38,[o o   o        o  o  o     o o oo o           o ]
3.38,[ o  oo  o          o  o   o o    o       o o  o ]
3.38,[  o o     o   o o      o   oo     o   o     o o ]
3.38,[    o        o ooo  o      oo      o      o  o o]
3.38,[ o     oo   oo o           o    o o o o  o      ]
3.39,[ o   o   o     o o o   o  o    o    oo  o       ]
3.41,[          o   o oo ooo o              o  o   o o]
3.41,[     o o  o  o     o   oo o      o    o  o     o]
3.41,[        o o  o    o o         oo oo     o   oo  ]
3.41,[     o  o    oo    o     o o  o       o   oo   o]
3.41,[o        o   o o    o  o ooo           o o    o ]
3.41,[oo   o o  o             o o   oo o  o        o  ]
3.41,[ o   o          o o  ooooo o         o     o    ]
3.41,[o   o o oo  o              o  o  o  o    o     o]
3.41,[ o oo             oo o o       ooo  o        o  ]
3.41,[  o       o    oo o   o     oo  oo     o       o]
3.41,[  o    o   oo  o          o  o o  o o   o    o  ]
3.41,[   o    oo    oo   oo         o o        o  o  o]
3.41,[ o   o  o o   o   o  o     o      o oo    o     ]
3.41,[  oo   o    o    o         oo o      o  o o   o ]
3.41,[oo  oo            o o         o o o o  o       o]
3.41,[          o  o o   o    ooo         o  o  o o o ]
3.41,[    o  oo o           o       o  o oo    o o o  ]
3.41,[o    oo  o   o   o     o   o      oo         o o]
3.41,[   o   ooo     o        o  o o  o  o          oo]
3.41,[ o   o  oo    o      oo    o           oo  oo   ]
3.41,[oo     o       o o   o     o  o         o o oo  ]
3.41,[o o   o   o   oo  o      o o             o   o o]
3.41,[   o   o       oo oo         oo    o   o o o    ]
3.41,[o          o o    oo  o      o oo   o   o    o  ]
3.41,[o  o   oo    o     o    o  o   o        o    o o]
3.41,[ o o  oo            o    oo    o o       o oo   ]
3.41,[      o oo       o oo         o    ooo o  o     ]
3.41,[    o    o   o  o   o     o   ooo    o   oo     ]
3.41,[o          oo        ooo ooo           o oo     ]
3.41,[   o     o    oo  o    o     o  oo    oo  o     ]
3.41,[  o oo        o o  o      o   o   o      oo  o  ]
3.41,[o   o           oo  oo o  o   o         o  o o  ]
3.41,[  o      o     o oo o       o o o  o o      o   ]
3.41,[   o  o  oo  o        o  o         o o   o   o o]
3.41,[ o            oo   o     o  o    o o oo   o    o]
3.41,[    o      o o oo  o o   o      oo  o         o ]
3.41,[o   o      o    o     o   oo  o  o       o  oo  ]
3.41,[ o  o  o   o  o o          o    o    oo     o o ]
3.41,[   o   ooo           oo    o          o oo  oo  ]
3.41,[o  o o       o      o o o    o        o  ooo    ]
3.41,[o   o  o       o        o o o      o o oo  o    ]
3.41,[o    o  o   oo    o      o o   o  o         oo  ]
3.41,[    o  oo o     o   oo     o    oo            oo]
3.41,[o  o    o    o        o  o o      o  ooo   o    ]
3.41,[     o  o o o     oo  o       o o         o o  o]
3.41,[   o  o o o    o  o        o o    o    oo   o   ]
3.43,[ o  o      o o o        o  o       o oo  o     o]
3.43,[    o  o        o o o   o  o      oo o o      o ]
3.43,[   o  o  o    o o  o  o  o   o          o o   o ]
3.43,[o  o o         o    oo  oo         o  o    oo   ]
3.43,[  o       o  o      o o  o    o   o  o  o o   o ]
3.43,[   o     o   o   o oo  oo          o   o o    o ]
3.46,[o     o  oo oo             o   oo   o      o   o]
3.46,[o o       o  o    o  ooo o          o  o   o    ]
3.46,[  o  o  o   o   o          o oo o o o          o]
3.46,[o           o o oooo o o                  o o  o]
3.46,[o   o  o o          o    o   oo     o     o  oo ]
3.46,[       o o   o    o  o   o o     o   oo o     o ]
3.46,[  o   o      o  o  oo   o     oo   o     o   o  ]
3.46,[   o            o oo o o    o  oo   o  o   o    ]
3.46,[o   o o           oooo  o          o  oo  o     ]
3.46,[      oo  o o   o  oo       o  ooo           o  ]
3.46,[o   o o     o   o o        o  o     o   o o  o  ]
3.46,[    o oo        ooo       o         oo oo  o    ]
3.46,[ o    o  o     o   oo  oo o         o     o  o  ]
3.46,[  oo  o      o o o o    o  o   o    o o         ]
3.46,[  ooo o         oo    o   o    o    o o   o     ]
3.46,[    o   oo     o o    o    o o  o      o    oo  ]
3.48,[  o  o     o   o  o o    oo o  o     o   o      ]
3.48,[     o  o o o        o      o o  oo     o  o  o ]
3.49,[   o      o   oo o o       ooo o          o o   ]
3.49,[  o          o o o     oo o o        o    oo  o ]
3.49,[    o o o         o   o o  oo  o o      o   o   ]
3.49,[ o  o o o    o    o     oo            o   o o o ]
3.49,[oo   o    o    o    o    o  o  ooo   o          ]
3.49,[o     o o  oo             o  o  o  o o    o    o]
3.49,[  oo o o          o     o o  o  o  oo o         ]
3.49,[o   oo   o    o          oo    o  o     o   o o ]
3.49,[    oo   o o  o o            o  oo o  o        o]
3.49,[  ooo o o              oo   o          oo  o  o ]
3.49,[o o oo        o    o      o  o         o o o  o ]
3.49,[ o   oooo           o        o oo  oo   o       ]
3.49,[  o o     o   o o          o o  o  o  o      oo ]
3.49,[       o   oo   o    o  o o    o   o o o   o    ]
3.49,[  o  o         o  o o   oo o  o   o        o  o ]
3.49,[   o o        o oo o      o   o   o       oo o  ]
3.49,[     o o   o     ooo   oo         o o  o  o     ]
3.49,[       oo o   o   o  o        o oo  o        oo ]
3.49,[o           oo  o   o  o  o o o          o o  o ]
3.49,[o      o     o  o o  o     o     o   oo o     o ]
3.49,[o            o oo  oo  o  o   o  o  o   o       ]
3.51,[   o oo         o oo        o o o          oo  o]
3.51,[ o    o o   o    o       o   o  o o   o     o o ]
3.51,[ o  o o o   o             o oo  o      o   o   o]
3.51,[   o o o  o     o     o   o   o     o   o o  o  ]
3.51,[  o        o  o ooo          oo o    o   o   o  ]
3.51,[ o oo        o   o     oo   o  o o o         o  ]
3.51,[     o  o  ooo    o o   o      o  o        o   o]
3.51,[      o   o  o   o o     o   o     o   o  o o o ]
3.51,[o        o  oo oo         o  o  o     o     o o ]
3.51,[   o     oo  o  o o  o o          ooo         o ]
3.51,[o   o   o  o o o o          o o   o  o    o     ]
3.54,[ o o  oo            oo    o   o o  oo     o     ]
3.54,[  o o  o        o   o o oo   o        o    o   o]
3.54,[        o  ooo    o    o oo    o     o  o      o]
3.54,[ o   oo o    o     o o     o       o  o  o     o]
3.54,[o   o     o  o  o          oo  ooo  oo          ]
3.54,[ o oo o         o            o o oo o o   o     ]
3.54,[  oo o   o   o       oo  oo   o     o     o     ]
3.54,[      o o o    oo       o  o oo   o       o   o ]
3.54,[ o o  ooo          o        o o       oo o o    ]
3.54,[o    o   o            o  o  oo o     o   ooo    ]
3.54,[         o oo  oo o   o  o     o         o oo   ]
3.54,[    o  o      o o  o     oo  oo o o         o   ]
3.54,[o      o o o oo         o o       o    o   o  o ]
3.54,[o  o  o       o    o o    o   o oo oo           ]
3.54,[ o            o  oo o        oo   o  o  oo   o  ]
3.54,[      o   o  o oooo             o  o  o     o  o]
3.54,[    oo  o o   o o  o         o   o   o   o  o   ]
3.54,[ o o o      o         o    o    o   o o  o o o  ]
3.54,[   o o          o   o oo o   o          o  o o o]
3.54,[ o   o oo       o    o   o  o      oo o   o     ]
3.54,[o  o        o    o    ooo   o   o o  o      o   ]
3.54,[ o   o     oo          o o      o o oo    o    o]
3.54,[o   o  o        o o   o   o   o     o     oo o  ]
3.54,[  o oo    o     o  o  o   o     o   o       o o ]
3.54,[ oo  o    o  o  o    o o       o    o   o  o    ]
3.54,[ o  o   oo  o       o  o      o oo  o          o]
3.54,[   ooo   o      oo   o         o   o      o o o ]
3.54,[ oo  o           o  o o     o  o   o      o  o o]
3.54,[ o  oo   o  o    o    o     o      o  o  o     o]
3.54,[    o     oo  o o o   o          o   oo o   o   ]
3.54,[ o o   o      o   o   o      oo o       o  o   o]
3.54,[ o    o  o      o  oo  o o  o o   o  o          ]
3.54,[ o o   o  oo   o         o  o o          o o o  ]
3.54,[       ooo    o     o  o  o o  o        o o  o  ]
3.54,[   o o         ooo o      o    ooo  o        o  ]
3.54,[  oo  o        o   o    o      oo   o   o   o o ]
3.54,[ o  oo  o   o               oo    oo   o o  o   ]
3.54,[    o   oo    ooo  o     o o   o     o       o  ]
3.54,[o  o         o     o     o o  o oo  oo o        ]
3.54,[  o  o           o o oo        o o        ooo o ]
3.54,[     oo   o    o   o     o o   oo o  o         o]
3.54,[o   oo   o  oo                ooooo o           ]
3.54,[    o   o  o      o  o oo o             o   o oo]
3.54,[  o  oo   o          o    o   o    o   oo o   o ]
3.54,[  o     o      oo    o       oo   oo  ooo       ]
3.54,[ oo  o        o o o o o      o  o          o  o ]
3.54,[  o    oo  o o    o             o  oo  oo     o ]
3.54,[o         o o  oo   o   o     oo   oo     o     ]
3.54,[o  o  o  o     oo  o          o   o  o     o o  ]
3.54,[oo     o     oo o  o       o  o        o o o    ]
3.54,[ o o   o     o   o   o  o   o      o       o o o]
3.54,[o      o   o oo o    o    oo         o o o      ]
3.54,[o          o    o   ooo        oo         ooo o ]
3.54,[ o    o o           oo  o   o o       o  o o   o]
3.54,[      o  o  o  oo o  oo            o o   o   o  ]
3.54,[ o    o o   o  o  o  o          o  oo  o       o]
3.54,[o        o  o oo o o o        o  o      o    o  ]
3.55,[     o  oo o o    o   o  o          oo   o    o ]
3.56,[     o   o o    o   oo   o    oo   o     o     o]
3.56,[o o  o              o o      o   oo   o  o o o  ]
3.56,[  o  o oo     o o  o        o o          o   oo ]
3.56,[   oo   o  o         o o o     o o oo        o  ]
3.56,[  o        oo o o    oo o     o    oo    o      ]
3.56,[ o   o o  o     o  o   o   o  o           o  o o]
3.58,[         o o o   o  o o o    o    oo   o       o]
3.58,[o       o    o o   ooo  o              o  oo o  ]
3.58,[     o   oo o     oo o oo       o      o   o    ]
3.58,[  o        oo  ooo           o         oo o o  o]
3.58,[o     o   o         o o   o    oo  o o     o o  ]
3.58,[   o o  o o    o    o     o           oooo  o   ]
3.58,[  o o  o     o   oo    oo    o    oo   o        ]
3.58,[       o ooo  o     o o o         o  o     oo   ]
3.58,[o    o    o      o   o o      o  oo   oo   o    ]
3.58,[  o o     o      o  o  o   oo        o   o o  o ]
3.58,[     o o  oo       o  o  o     o     o  o  o o  ]
3.58,[ o   o     o     o    o   o    oo     o  o o o  ]
3.58,[    ooo   o     o  o  o   o     o o  o      o   ]
3.58,[    o  o  oo    o o o        oo o         o    o]
3.59,[oo     o     o      o  o   o     oo    o o    o ]
3.59,[  o   o     o o  oo     oo         o  o      oo ]
3.59,[  o o o           o  o oo    o o  o  o   o      ]
3.59,[   oo       o o  o        o  o o        o  oo o ]
3.59,[oo          o  o   o   o o     oo        o o o  ]
3.59,[ o  o          o o   o  o   o       o  o o   o o]
3.59,[  o  o   o oo         o       o  oo o    o o    ]
3.59,[o     o  o  o     o         o    o    o  o oo  o]
3.59,[ o    o      o     o    o    oo o    o    oo o  ]
3.59,[o    o   o   o   o     o oo    o     o o   o    ]
3.59,[o     oo   o         o   o  o  oo o       o    o]
3.59,[ o   o       o   oo ooo        o  o        o o  ]
3.59,[ o            oo   o    o  o oo   o   o o    o  ]
3.59,[ o   o         o  oo   o o     o     o  oo   o  ]
3.59,[o    o o     o   oo o        o       o o o  o   ]
3.59,[  o   o  o  o   oo         o   o  oo o         o]
3.59,[o    o       o  oo    o   o  o     o      o   oo]
3.59,[ o oo    o    o o    oo      o    oo          o ]
3.59,[o o       o  o      o    o   ooo  o o          o]
3.59,[ o o     o    oo  o o o            o   o o    o ]
3.59,[o  o  o   o   ooo           o           o  o  oo]
3.59,[  o        oo o      o ooo   o     o o      o   ]
3.59,[o  oo o       o           o     ooo o  o      o ]
3.61,[       o   o  o o   o o  o o o  o o   o         ]
3.61,[  o  o  oo  o          o  o         o  oo o  o  ]
3.61,[   o  o   o o          ooo   o    o     o    o o]
3.61,[o     oo   oo    o        o      o o o  o      o]
3.61,[oo          oo o   o       o  ooo        o o    ]
3.64,[         o  o o   o o  oo      o o  o  o o      ]
3.64,[  o    o   o         o ooo o      o   oo    o   ]
3.64,[ o o o            ooo o       o oo  o        o  ]
3.64,[           o  ooo     o   o oo  oo o   o        ]
3.64,[oo   o         o o  oo  o         o o      o  o ]
3.64,[  o        oo  o  o   o o   o oo         o o    ]
3.64,[  o   o          o   oo  oo o  o     o  o    o  ]
3.64,[     o   o oo     o ooo  o              o   o o ]
3.64,[  o  o     o     o    o   oo   oo       o   o o ]
3.64,[ o     o    o    o    ooo o      o o o       o  ]
3.64,[ o  o  o  o    o o  o       o  o        o  o   o]
3.65,[oo  oo          o  o o     o  o        o o o    ]
3.66,[  o  o    o      o o        o o  oo   o   o  o  ]
3.66,[        o   o  o  o  o  o  o o   o      o   o o ]
3.66,[  o    o  o   o o  oo        oo  o   o      o   ]
3.66,[       oo   ooo         o  o      o  o    oo  o ]
3.66,[o    o   o   o o o         o   o    oo    oo    ]
3.66,[o   o o o          o  oo          o  o   o o   o]
3.66,[    o      o o  oo   oo     o   o     o   o    o]
3.66,[ o o  oo          o o       o     o  oo o      o]
3.66,[  o  oo   o o         o   o     o  o  o o      o]
3.66,[o     o   o o  o     o   o        o o  o   o   o]
3.66,[ o     oo  o o  o   o          o   o  o   o   o ]
3.66,[    o   o o  o  o oo   o         o    o     o  o]
3.66,[o  o o      o    o     o  o      o oo  oo       ]
3.66,[  o   o        o    o o oo  o  oo           o o ]
3.66,[o         ooo o      o  o          oo  o  o    o]
3.66,[     oo o   o o    o o  o       o      o o   o  ]
3.66,[o    o   o   o o        o oo  o            oo o ]
3.66,[o  o  o              o     o  oo o    o o  o  o ]
3.66,[  ooo    o     o    o    oo   o      o    o o   ]
3.66,[o   o              oo oo   o     o  oo oo       ]
3.66,[  o  o     o          ooo    o    o o  o o o    ]
3.66,[o o  o   o          o    o     o     o   o oo o ]
3.66,[o  o o   o o       o   o        o o  o      oo  ]
3.66,[      o     o o o oo  o    o o  oo             o]
3.66,[  o o o    o    o            o    oo   oo    oo ]
3.66,[  o    o   ooo       o  oo       o o   o    o   ]
3.66,[o    o    oo    o    o     o  oo       o o  o   ]
3.66,[o            o o o ooo o        o       o   o  o]
3.66,[   o   o      o  o oo o o    o        o  o o    ]
3.66,[ o      o    o oo    o    o o     o o  o   o    ]
3.66,[   o       o   ooo           oo  o   o  o    o o]
3.66,[o   o  o        o      o  o  o      o o o  o   o]
3.66,[o         ooo  oo      o   o   o    oo   o      ]
3.66,[   o       o o  oo  o  oo   o       o  o   o    ]
3.66,[o  o o       o   o oo o o      o o  o           ]
3.66,[o  o         o  o     o   o      o o oo o      o]
3.66,[ o    o  o     o o o       o  o   o o        o o]
3.66,[     o   o oo   o     o        o  o   o o  o  o ]
3.66,[o  oo o        o o   oo  o         o       o o  ]
3.66,[o o    o   o       o   oo    o   o       o  oo  ]
3.66,[oo     o           oo  o     o  oo       o  o  o]
3.66,[ o    o       o    o   oo  o    o  o  ooo       ]
3.66,[  o   o    o oo   o          o   o     o  oo o  ]
3.66,[    o  o      o o  o     oo  oo          o oo   ]
3.66,[       ooo  o     o  o            o o o   o  oo ]
3.66,[ o   o   o           oo o  o      o  o o  o o   ]
3.66,[    o   oo  o     o    oo   o    o  o     o   o ]
3.66,[o     o   o  oo  o        o  o       o    oo   o]
3.66,[o        o o  oo    o  o         o    o  o oo   ]
3.68,[  o          o    o   o  o  o o o oo  o       o ]
3.68,[            o o  oo    o o o    o    ooo o      ]
3.68,[  o o   o         o    oo     o  o   o    o  oo ]
3.68,[  o  o     o   oo o  o  o      o   o       o   o]
3.68,[o     o    o         oo oo o o    o    o      o ]
3.69,[o   oo o      o    o      o     oo  oo        o ]
3.69,[o  o o o          o      oo o  o    o    o  o   ]
3.70,[   o oo         ooo         o o      o    ooo   ]
3.71,[o   o        o   oo  o o  o     oo  o         o ]
3.71,[o   o o     o o  oo  o          oo   o         o]
3.71,[ o   o           o  o  o  o o  o       o o o  o ]
3.71,[  o  o   o    o     o    oo o     o o  o  o     ]
3.71,[        o     oo   oo   oo   o o      o   o o   ]
3.71,[oo        o oo          o o   oo o    o       o ]
3.71,[ o         o  oo          o oo  o     o   o  oo ]
3.71,[      o   o   o o    o  o  o     o  o o o      o]
3.71,[  oo  o     o   o     oo oo         o     o   o ]
3.71,[  oo o      o    oo        o   oo   o  o      o ]
3.71,[ o      o  o  oo oo            o  o   o   o o   ]
3.71,[       ooo   oo  o o    o   o      oo o         ]
3.71,[   o     o    o o    o       o o o o  o  o    o ]
3.71,[      ooo       oo o      o o         oo  o  o  ]
3.71,[ o  o  oo     o     o   o     o       o o  o  o ]
3.71,[ o      o o       o  oo     o o    ooo   o      ]
3.71,[       o oo   o   o   o o  o  o o   o       o   ]
3.71,[ o o       o o      o  o         ooo   oo     o ]
3.71,[ o   o     o o    oo   o         oo      o  o  o]
3.71,[ oo           ooo o o      o    o      o o    o ]
3.71,[ o   o      o oo   o     o  o         o   oo  o ]
3.71,[o        o   o o    o    o   o      o o o   o  o]
3.71,[    o    o o     o  ooo         o   o  oo  o    ]
3.71,[o     o     o    o   o    oo   o   o   o  o   o ]
3.71,[ o       o   o oo o o    o    o    o   o   o    ]
3.71,[  o o o    o  o  o         o     o   o   oo   o ]
3.71,[  o      o o o o     o   o         o  oo  o  o  ]
3.71,[ o  o   oo   o             o  oooo  o          o]
3.71,[   o   o   o oo  o        o    ooo  o        o  ]
3.71,[ o    o   o   o  o   oo o oo               o  o ]
3.71,[ o  ooo   o        o   oo          o  oo o      ]
3.71,[ o   o      o  o oo       o    o  o        ooo  ]
3.71,[    o o ooo           o        o   o o   o  o o ]
3.71,[  o o o     o   o          o    oo  o  o     oo ]
3.71,[o      o  o o     o      o  o o   o   o   o  o  ]
3.71,[o   o o     o   o   o     o  o  o o        o   o]
3.71,[       ooo   o  o      o  o o      o  ooo       ]
3.71,[o   o o  o        o    o o oo  o        o     o ]
3.71,[o o   o   o o         o   o     oo  oo        o ]
3.73,[o         o oo   o  o o        o o        ooo   ]
3.73,[  o     oo     o   o oo o          o     o o  o ]
3.73,[ o  o         o   oo     o  oo        o oo  o   ]
3.73,[ o  o      o     o o   o oo o       o       o o ]
3.73,[   oo         oo o  o   o o       o    o  o   o ]
3.73,[   o  o o o         oo   o  o  o   o o    o     ]
3.76,[ o  o        o    oo   o   o      o o o o    o  ]
3.76,[   o     o   o   o  o o        o  o  o  o o   o ]
3.76,[  o   o oo  o     o    o       o    oo   o o    ]
3.76,[     o    oo   o   o   o o          oo    oo   o]
3.76,[ o     o   o     o  oo   oo    o     o    o o   ]
3.76,[  o o  o   o            o o   ooo  o o   o      ]
3.76,[   oo        o   oo    o o   o    o   o    o  o ]
3.76,[ o  o        o o oo       o oo     o      o    o]
3.76,[ o   oo           o    oo    oo o        o o  o ]
3.76,[ o oo       o     o   o   o   o o        o  o  o]
3.76,[  o oo     o           o o o  o  o   o o o      ]
3.76,[o  o  o           o    o oo   o o         o oo  ]
3.76,[    o  o o o   o o   o  o         ooo  o        ]
3.76,[o    o      o   o o o      o  o oo  o          o]
3.76,[ o o         ooo         o  oo    o o  o  o     ]
3.76,[ o  o   o        oo oo o   o      o   o       o ]
3.76,[ o          oo   o     o  o o o o o      o    o ]
3.76,[ o   oo o    o   o    o   o        ooo    o     ]
3.76,[ o           o  o ooo       o  o o   oo     o   ]
3.76,[o           o    ooo o o      o o   o     o o   ]
3.76,[  o o  o        o  o oo     o       o  ooo      ]
3.76,[o  o   o          o oo    o          o ooo  o   ]
3.76,[o  o      o  o oo    o     o  o        o  o  o  ]
3.76,[  o    o o       o  o  oo   oo   o o          o ]
3.76,[  o o o  o        o oo     o    o          o  oo]
3.76,[   oo         o o  o o   o           o ooo    o ]
3.76,[  oo o         o  o  o o o     oo    o      o   ]
3.76,[ o o  o        o  oo    o  o   o        o    oo ]
3.76,[  o o    o    o o o o      o    o   o o       o ]
3.77,[o   oo    o       o o         o o o    o   o   o]
3.77,[ o oo  o o    o     o    o       o       o  o  o]
3.77,[  o  o   o oo         o       o  oo o   o   o   ]
3.77,[        o  o   o    oo   o     o  o    o o o  o ]
3.77,[o o o  o  o  o         o o  o     o       o   o ]
3.77,[       o o o    o oo  oo        oo  o        o  ]
3.77,[oo   o    o o       o o         oo  oo         o]
3.77,[  o       o o  o     o  o o    o  o   o     o  o]
3.77,[    o   o  o o o   o o   oo            o   o  o ]
3.77,[o o       o o  o     o   o    oo  o o          o]
3.78,[       ooo  o    o    o o  o o        o   o  o  ]
3.78,[   o  oo        o o  o     o   o o       o  o o ]
3.78,[          ooo   o      o   o o  o o o oo        ]
3.78,[o        o   o o     o  oo  o        ooo  o     ]
3.78,[  o   oo          o   o  o ooo   o     o o      ]
3.78,[   o  o   o  oo o        o  o   o        o   o o]
3.78,[ o    o  o   o      oo oo o        o   o    o   ]
3.78,[ o      o   oo o   o          o o    o  o o  o  ]
3.79,[   o o          o o   o    o o    o  o oo     o ]
3.79,[ oo     o      o    oo     o   ooo           o o]
3.79,[ o      o    ooo o o    o     o     o   o  o    ]
3.79,[o   o o   o               ooo o   o   ooo       ]
3.79,[  o o  o  o      oo   o       o o     o o   o   ]
3.79,[   oo   o    oo    o   o o   o    o        o  o ]
3.79,[o o oo          o o   o    o  o o   o          o]
3.79,[oo  o  o       o    o     o     o o  o      o o ]
3.79,[o    o    oo   o     o   o  o oo  o         o   ]
3.79,[o o  o          o    oo        o oo   oo   o    ]
3.79,[oo  o o       o     o   o o        o  o    oo   ]
3.79,[   o   o   o    o    o   o  o ooo o  o          ]
3.79,[          o o  o   o o  oo     o  o     o   o o ]
3.79,[o o o  o         o  o      o      o o o    o   o]
3.79,[  o o     o  o oo o      o     o    o     o    o]
3.79,[o    o    o       o  oo    o          o o o oo  ]
3.81,[ o    o     o    oo   o   o  oo  o      o   o   ]
3.81,[  o       o  o oo o   o     o      o      o o o ]
3.81,[ o  oo          o  o o     o   o o  o   o      o]
3.81,[  o       o  o  o o  o   o o  oo          o    o]
3.81,[  o    o    o   oooo           oo    o o o      ]
3.81,[       o o o  o   o  o o o o             o o   o]
3.81,[     o  o     oo o        o o   o   o   o  o  o ]
3.81,[ o   o  oo           oo            o o oo o o   ]
3.81,[     oo o o      o   o o   o           o o o  o ]
3.81,[     o    ooo o   o   o oo         o       o   o]
3.81,[   o      o  o  o o  o o  o      o    o   o o   ]
3.81,[ o  o o   o             o  o   o  o   ooo   o   ]
3.81,[o  oo        o o        oo   o o   o      o  o  ]
3.81,[ o           o o oo o   o  o  o  o     o   o    ]
3.84,[    oo  o        o  o        o   oo    oo   o o ]
3.84,[ o    o       o    o oo  o   o  o oo          o ]
3.84,[ o o o       o        o oo  o     o   o     o  o]
3.84,[  oo           o   ooo   o     o       oo  o  o ]
3.84,[o   o  o   o    oo     o      o   o   o   o o   ]
3.84,[o      o  o     o    o o    o     oo    o     oo]
3.84,[o    o   o  o oo         oo          o   o   oo ]
3.84,[o o   o       o        o oo o o          o oo   ]
3.84,[  o    oo o   o     o    o   o   o  oo     o    ]
3.84,[o        o oo  oo o   o       o    o     o  o   ]
3.84,[  o  oo  o        oo  o o   o  oo          o    ]
3.84,[ o o    o     o   o    o   o    o  o  ooo       ]
3.84,[ o   o   o       o o   o    o     oo  o     o  o]
3.84,[  o        o  oo o o     o   o o         o   oo ]
3.84,[  o     o  o   o   o    o o   oo          oo   o]
3.84,[o   o    o       o    oo  o  o   o         oo o ]
3.84,[ o o    o           o ooo   oo o          o o   ]
3.84,[       oo oo  o  o  o o   o   o      o   o      ]
3.84,[          o  ooo  o o   o         o  o     o o o]
3.84,[    o o o          o o   o oo     o   o    o   o]
3.84,[o       o    o o    ooo  oo               o o o ]
3.84,[      o o  o   oo   ooo         oo  o         o ]
3.84,[o   o o       o  o    o  o o     o     oo   o   ]
3.84,[o o    o        o    o o o          o o o  o   o]
3.84,[  o     oo oo  o          oo  o     o  oo       ]
3.84,[o            ooooo         oo     o  o       o o]
3.84,[o  o   o         o o  oo o  o     oo o          ]
3.84,[o   o    o   o      o  o  o       o   o  oo   o ]
3.84,[  o o        o o  o      o o     o        oo o o]
3.84,[ o  o  o o    o o  o     o o        o       o o ]
